sample,cpgs_covered,mean_methylation
SLX-19316.U001.,327,0.6082997221332638
SLX-19316.U002.,326,0.6027057043161338
SLX-19316.U003.,325,0.6126315009776548
SLX-19316.U004.,326,0.6261219617429313
SLX-19316.U005.,327,0.5966554587567454
SLX-19316.U006.,327,0.7781067501385903
SLX-19316.U007.,327,0.6079596287165095
SLX-19316.U008.,320,0.616699142871018
SLX-19316.U009.,324,0.61098452302156
SLX-19316.U010.,293,0.6418535673655127
SLX-19316.U011.,312,0.6159684065934066
SLX-19316.U012.,299,0.69108005521049
SLX-19317.U013.,321,0.6147973954048721
SLX-19317.U014.,326,0.6130135322394434
SLX-19317.U015.,324,0.630263315217019
SLX-19317.U016.,326,0.6170903525581439
SLX-19317.U017.,265,0.6343486073674752
SLX-19317.U018.,326,0.6346746726347953
SLX-19317.U019.,323,0.6286938551644433
SLX-19317.U020.,327,0.6144279558320089
SLX-19317.U022.,326,0.6127611187138671
SLX-19317.U023.,324,0.7445702616998913
SLX-19317.U024.,327,0.6075704728902246
SLX-20578.U023.,327,0.633294415404507
SLX-20578.U024.,314,0.5994275098574461
SLX-20579.U005.,327,0.7417705771619767
SLX-20579.U006.,323,0.6461674547031926
SLX-20579.U007.,327,0.7460065503643485
SLX-20579.U008.,323,0.5990427271387023
SLX-20579.U009.,322,0.6073637159289095
SLX-20579.U010.,327,0.6218916363264511
SLX-20579.U011.,325,0.6166485736485737
SLX-20579.U012.,326,0.6109265351213204
SLX-20580.U013.,324,0.6229602296918259
SLX-20580.U014.,326,0.6105035199473128
SLX-20580.U015.,327,0.6823040152168592
SLX-20580.U016.,327,0.6284013981261687
SLX-20580.U017.,326,0.6150844511657395
SLX-20580.U018.,326,0.6154737134031613
SLX-20580.U019.,325,0.6045644099490254
SLX-20580.U020.,327,0.6158835495667752
SLX-20580.U021.,326,0.6028498354403168
SLX-20580.U022.,322,0.6455598576716589
SLX-20580.U023.,327,0.6294725202255963
SLX-20580.U024.,326,0.612939321424964
SLX-19318.U003.,324,0.629982260537816
SLX-19318.U004.,323,0.6078246744655413
SLX-19318.U005.,307,0.6181983868465953
SLX-19318.U006.,327,0.6236052348842419
SLX-19318.U007.,327,0.6061685502819368
SLX-19318.U008.,281,0.6350449076427725
SLX-19318.U009.,319,0.6102062949241632
SLX-19318.U010.,284,0.604010172143975
SLX-19318.U022.,321,0.6036114629572573
SLX-19319.U001.,324,0.6455455124436605
SLX-19319.U002.,326,0.6186692908318675
SLX-19319.U011.,327,0.6356729536977783
SLX-19319.U013.,327,0.605006646401592
SLX-19319.U014.,326,0.6304603997990863
SLX-19319.U015.,327,0.6060288854676334
SLX-19319.U016.,327,0.6477012629450355
SLX-19319.U017.,327,0.6048697884234852
SLX-19319.U018.,325,0.6353762135300597
SLX-19319.U019.,321,0.6005194632805958
SLX-19319.U020.,326,0.6318931366860815
SLX-19319.U021.,327,0.6051684172097016
SLX-20577.U001.,322,0.6181302220898494
SLX-20577.U002.,320,0.6100276546370297
SLX-20577.U003.,325,0.6225578524040063
SLX-20577.U004.,324,0.630524430987394
SLX-20577.U005.,326,0.6172216459409711
SLX-20577.U006.,324,0.6126807862918974
SLX-20577.U007.,325,0.6207735256196795
SLX-20577.U008.,326,0.613474289854658
SLX-20577.U009.,318,0.6328215634819409
SLX-20577.U010.,326,0.6132317069433634
SLX-20577.U011.,327,0.6211534276478747
SLX-20577.U012.,324,0.5980627140349363
SLX-20578.U013.,327,0.7398897399251516
SLX-20578.U014.,325,0.6097115829719773
SLX-20578.U015.,324,0.742014013078828
SLX-20578.U016.,327,0.6082950360985979
SLX-20578.U017.,326,0.7519382202664411
SLX-20578.U018.,314,0.6121488074911642
SLX-20578.U019.,325,0.6250319765704381
SLX-20578.U020.,323,0.6201528275199066
SLX-20578.U021.,275,0.6516277056277056
SLX-20579.U001.,325,0.6636807124499432
SLX-20579.U002.,325,0.6269642395431609
SLX-20579.U003.,327,0.6941683534120406
SLX-20579.U004.,327,0.6254323162004802
SLX-19317.U021.,260,0.6782692307692307
SLX-19318.U023.,206,0.6461165048543689
SLX-20578.U022.,325,0.6347095895557434
