C92_070_s2_SNV,xGenUDI49
C92_008_s10_SNV,xGenUDI50
C92_044_s6_SNV,xGenUDI51
C92_090_s2_SNV,xGenUDI52
C92_068_s2_SNV,xGenUDI53
C92_064_s3_SNV,xGenUDI54
C92_041_s6_SNV,xGenUDI55
C92_043_s6_SNV,xGenUDI56
CNTRL_187_s2_SNV,xGenUDI57
CNTRL_201_s2_SNV,xGenUDI58
CNTRL_164_s6_SNV,xGenUDI59
CNTRL_173_s3_SNV,xGenUDI60
CNTRL_167_s2_SNV,xGenUDI61
CNTRL_161_s10_SNV,xGenUDI62
CNTRL_163_s6_SNV,xGenUDI63
CNTRL_165_s6_SNV,xGenUDI64
C92_086_s5_SNV,xGenUDI65
C92_015_s7_SNV,xGenUDI66
CNTRL_184_s5_SNV,xGenUDI67
C92_048_s5_SNV,xGenUDI68
C92_034_s7_SNV,xGenUDI69
CNTRL_191_s7_SNV,xGenUDI70
CNTRL_172_s7_SNV,xGenUDI71
CNTRL_202_s5_SNV,xGenUDI72
C92_033_s7_SNV,xGenUDI73
C92_067_s2_SNV,xGenUDI74
C92_019_s8_SNV,xGenUDI75
C92_045_s6_SNV,xGenUDI76
C92_061_s3_SNV,xGenUDI77
C92_050_s4_SNV,xGenUDI78
C92_062_s3_SNV,xGenUDI79
C92_051_s5_SNV,xGenUDI80
CNTRL_171_s2_SNV,xGenUDI81
CNTRL_180_s3_SNV,xGenUDI82
CNTRL_175_s3_SNV,xGenUDI83
CNTRL_192_s7_SNV,xGenUDI84
CNTRL_178_s5_SNV,xGenUDI85
CNTRL_194_s8_SNV,xGenUDI86
CNTRL_190_s4_SNV,xGenUDI87
CNTRL_197_s6_SNV,xGenUDI88
