Sample,Raw depth,SSCS depth,DCS depth,Mean UMI family size,Max UMI family size
C92_070_s2,107024,3058,1132,7.505479470257441,206
C92_008_s10,143350,4649,1746,7.234561060165861,218
C92_044_s6,76121,2055,769,7.792244871641972,236
C92_090_s2,157536,6025,2058,7.242281590522601,167
C92_068_s2,138124,5704,1983,6.744935243707349,178
C92_064_s3,59161,1107,415,8.870444851495606,283
C92_041_s6,74684,1720,646,7.695603646507868,270
C92_043_s6,62932,1640,600,7.54711199856801,229
C92_086_s5,117847,2445,914,9.61110097313303,391
C92_015_s7,167509,7201,2373,7.057382983105033,169
C92_048_s5,121347,3917,1439,7.461770186787374,223
C92_034_s7,169429,4591,1723,8.669845232252488,263
C92_033_s7,114882,6567,1785,6.047229042586866,114
C92_067_s2,154931,6152,2226,6.877622826728343,193
C92_019_s8,165836,8688,2754,5.91762946328168,137
C92_045_s6,134216,6385,2147,6.299379642986198,165
C92_061_s3,168714,8489,2775,6.143950897171746,163
C92_050_s4,153703,7178,2375,6.618060070147449,174
C92_062_s3,138173,6369,2139,6.298516468309954,158
C92_051_s5,194915,6871,2491,6.703407234910279,177
CNTRL_187_s2,98381,4187,1485,6.404997931825941,153
CNTRL_201_s2,130723,5977,1963,6.134405200498654,143
CNTRL_164_s6,127880,5976,2103,5.792010691665827,138
CNTRL_173_s3,136233,7125,2398,5.4883467787178875,178
CNTRL_167_s2,100870,2747,1030,7.77679973837857,235
CNTRL_161_s10,67564,1763,664,7.132509748860331,199
CNTRL_163_s6,99248,3418,1278,6.716920424117925,197
CNTRL_165_s6,147073,8320,2727,5.374226298520732,126
CNTRL_184_s5,178642,7797,2691,6.5304541656875275,195
CNTRL_191_s7,218122,11202,3423,6.766484751743706,148
CNTRL_172_s7,137733,4082,1510,7.841746173823813,271
CNTRL_202_s5,181656,7539,2644,6.938905972272632,196
CNTRL_171_s2,144447,7588,2321,6.44166891916949,124
CNTRL_180_s3,235906,10093,3081,8.18355462887821,156
CNTRL_175_s3,215741,7757,2861,7.907968372370433,208
CNTRL_192_s7,212359,12367,3633,6.192793804041473,120
CNTRL_178_s5,147852,5912,2022,7.111957687831149,174
CNTRL_194_s8,132946,6403,2010,6.306919675150492,166
CNTRL_190_s4,173665,8878,2746,6.291239744326267,168
CNTRL_197_s6,4220,322,27,3.697064866296931,41
