sample name :	C92_002_s7
date of analysis :	28/01/2021
produced from code:	Watson_code_SSCS_calling: version 1.8
produced from function:	SSCS_calling_BAM_and_fastq
minimum family size required for SSCS consensus calling set to :	3
minimum proportion of identical nucleotides required at each base set to :	0.9
maximum proportion of Ns allowed :	0.1
minimum base quality set to:	20

total number of reads included in SSCS consensus calling:	165854493
total number of reads excluded due to non-common CIGAR:	936934
total number of SSCS consensus reads (read 1 and read 2 separate):	13228127
total number of unpaired SSCS reads:	160298
total number of SSCS pairs:	6469018

UMI_family_size	count (read 1 and read 2 separate)	fraction	
1	3479065	0.19532390178114217
2	1104581	0.06201409595776906
3	1150105	0.0645699336051498
4	1245776	0.06994115633519471
5	1259672	0.07072131449238658
6	1179924	0.06624405105544519
7	1036557	0.05819504885897659
8	868473	0.04875836897315051
9	715531	0.040171800976803375
10	584352	0.03280706530450394
11	486906	0.027336189384403225
12	415048	0.023301891395090202
13	364417	0.020459333273560133
14	326127	0.01830963150046882
15	295241	0.016575609850855388
16	271285	0.015230656712276762
17	249055	0.013982605774281988
18	229598	0.012890238383343421
19	211575	0.011878379541441495
20	195730	0.010988799374436222
21	179689	0.010088215249543097
22	166080	0.009324170030687006
23	152517	0.008562707373376026
24	141100	0.007921726826408577
25	129739	0.007283890267409089
26	119301	0.006697873367238623
27	110517	0.00620471639740749
28	100199	0.00562543661431122
29	91866	0.005157599976150605
30	84730	0.004756966080805095
31	77498	0.004350942491800226
32	70822	0.003976134211905799
33	64894	0.0036433206284405264
34	58780	0.0033000645135102496
35	54376	0.003052812316887263
36	49263	0.0027657549868842367
37	44978	0.002525183764693161
38	40898	0.002296121784170503
39	37338	0.0020962539776360274
40	34070	0.0019127798226487615
41	30267	0.0016992693540390392
42	27959	0.0015696921356453397
43	25419	0.0014270898242415284
44	23298	0.0013080112799551172
45	21567	0.0012108283661598426
46	19035	0.001068675195894311
47	17566	0.0009862016543776973
48	15616	0.0008767235019220153
49	14441	0.0008107558972371813
50	12781	0.0007175591110441392
51	11748	0.0006595637615637702
52	10557	0.0005926978746023767
53	9836	0.0005522190295149169
54	8879	0.0004984905208482053
55	7997	0.00044897271035286606
56	7215	0.00040506916408602334
57	6423	0.00036060419139633096
58	5845	0.0003281537441556211
59	5510	0.0003093459589901578
60	4965	0.0002787482189448518
61	4280	0.0002402905089796507
62	3916	0.0002198545871879234
63	3492	0.0001960501068590982
64	3432	0.0001926815483220003
65	3033	0.0001702806340502992
66	2743	0.00015399926778765933
67	2441	0.00013704418981759985
68	2205	0.00012379452623834808
69	2040	0.00011453099026132885
70	1801	0.00010111289875522217
71	1637	9.19055054204879e-05
72	1418	7.961026676008054e-05
73	1320	7.410828781615396e-05
74	1216	6.826945301851759e-05
75	1178	6.613603261168891e-05
76	899	5.0472235414183644e-05
77	859	4.8226529722785034e-05
78	786	4.412811683598258e-05
79	807	4.530711232396685e-05
80	682	3.828928203834621e-05
81	638	3.581900577780775e-05
82	557	3.127145175272557e-05
83	496	2.78467505733427e-05
84	467	2.621861394707871e-05
85	376	2.1109633499146886e-05
86	376	2.1109633499146886e-05
87	350	1.964992479973779e-05
88	324	1.81902161003287e-05
89	273	1.5326941343795477e-05
90	280	1.5719939839790235e-05
91	229	1.2856665083257012e-05
92	261	1.4653229636375896e-05
93	212	1.1902240164412606e-05
94	160	8.982822765594419e-06
95	182	1.0217960895863651e-05
96	158	8.870537481024489e-06
97	134	7.523114066185326e-06
98	109	6.119548009061198e-06
99	125	7.01783028562064e-06
100	103	5.782692155351407e-06
101	98	5.501978943926582e-06
102	93	5.221265732501756e-06
103	87	4.8844098787919655e-06
104	88	4.940552521076931e-06
105	59	3.312415894812942e-06
106	43	2.4141336182535e-06
107	66	3.7054143908076976e-06
108	55	3.0878453256730815e-06
109	51	2.863274756533221e-06
110	49	2.750989471963291e-06
111	52	2.919417398818186e-06
112	35	1.9649924799737793e-06
113	28	1.5719939839790234e-06
114	28	1.5719939839790234e-06
115	31	1.7404219108339187e-06
116	19	1.0667102034143373e-06
117	24	1.3474234148391628e-06
118	18	1.010567561129372e-06
119	36	2.021135122258744e-06
120	16	8.982822765594419e-07
121	22	1.2351381302692327e-06
122	9	5.05283780564686e-07
123	6	3.368558537097907e-07
124	13	7.298543497045465e-07
125	12	6.737117074195814e-07
126	20	1.1228528456993024e-06
127	6	3.368558537097907e-07
128	8	4.4914113827972094e-07
129	3	1.6842792685489535e-07
130	4	2.2457056913986047e-07
131	7	3.9299849599475584e-07
132	5	2.807132114248256e-07
133	4	2.2457056913986047e-07
134	2	1.1228528456993024e-07
135	7	3.9299849599475584e-07
136	15	8.421396342744767e-07
137	8	4.4914113827972094e-07
138	6	3.368558537097907e-07
139	6	3.368558537097907e-07
140	3	1.6842792685489535e-07
141	2	1.1228528456993024e-07
142	4	2.2457056913986047e-07
143	1	5.614264228496512e-08
144	1	5.614264228496512e-08
145	1	5.614264228496512e-08
146	1	5.614264228496512e-08
148	4	2.2457056913986047e-07
149	1	5.614264228496512e-08
152	4	2.2457056913986047e-07
153	3	1.6842792685489535e-07
154	3	1.6842792685489535e-07
158	4	2.2457056913986047e-07
161	2	1.1228528456993024e-07
165	2	1.1228528456993024e-07
171	2	1.1228528456993024e-07
173	2	1.1228528456993024e-07
180	2	1.1228528456993024e-07
