sample name :	CNTRL_166_s4
date of analysis :	04/02/2021
produced from code:	Watson_code_SSCS_calling: version 1.8
produced from function:	SSCS_calling_BAM_and_fastq
minimum family size required for SSCS consensus calling set to :	3
minimum proportion of identical nucleotides required at each base set to :	0.9
maximum proportion of Ns allowed :	0.1
minimum base quality set to:	20

total number of reads included in SSCS consensus calling:	124387687
total number of reads excluded due to non-common CIGAR:	693650
total number of SSCS consensus reads (read 1 and read 2 separate):	11507492
total number of unpaired SSCS reads:	121786
total number of SSCS pairs:	5651198

UMI_family_size	count (read 1 and read 2 separate)	fraction	
1	2979602	0.1880907857481619
2	1354203	0.08548561396203859
3	1399040	0.08831600089310869
4	1383088	0.0873090126395585
5	1253820	0.0791488222208068
6	1061548	0.0670114322078552
7	863570	0.05451384441564349
8	690172	0.04356789724982746
9	559042	0.035290165950426916
10	464162	0.029300757381166453
11	398539	0.025158230415097956
12	349498	0.022062461173475885
13	310904	0.019626170761144115
14	277432	0.017513212459813108
15	251349	0.015866693238565
16	227588	0.014366752924334415
17	204761	0.012925772428861096
18	187424	0.011831354465483477
19	168542	0.010639406609193679
20	151571	0.00956809281462244
21	136896	0.008641716647317452
22	123542	0.007798730116605982
23	110874	0.006999048120870406
24	100101	0.0063189901685449116
25	89760	0.005666202710548259
26	80818	0.005101728728398943
27	72774	0.0045939420238128225
28	64787	0.004089753509450646
29	57330	0.0036190218515567254
30	52073	0.003287167711078203
31	46023	0.002905254538185857
32	40999	0.0025881087893245107
33	36955	0.002332826661857296
34	32518	0.0020527359596881492
35	28975	0.001829080030505078
36	26273	0.0016585131886612567
37	22894	0.0014452099471400606
38	20967	0.0013235658671130275
39	18197	0.0011487064474581849
40	16494	0.0010412026237498105
41	14452	0.0009122990371306087
42	12615	0.0007963363100887509
43	11362	0.0007172392513062535
44	9937	0.0006272844957076431
45	9030	0.0005700290828459311
46	8122	0.0005127105438399393
47	6792	0.000428752771947903
48	6035	0.00038096628072815
49	5405	0.0003411968098319222
50	4823	0.00030445739386112135
51	4304	0.00027169492497994323
52	3929	0.0002480226208750458
53	3403	0.00021481826898390958
54	2826	0.00017839448373450735
55	2687	0.00016961994967962536
56	2208	0.00013938252656963633
57	2006	0.00012663104542513155
58	1892	0.00011943466497724271
59	1611	0.00010169621843463954
60	1416	8.938662030009285e-05
61	1236	7.802391432974207e-05
62	1121	7.076440773757351e-05
63	1041	6.571431619519538e-05
64	914	5.769729587167011e-05
65	801	5.0564041568061e-05
66	733	4.627146375703959e-05
67	604	3.812819114495486e-05
68	535	3.3772487189653726e-05
69	502	3.1689324428422747e-05
70	450	2.8406764925876965e-05
71	379	2.3924808682016377e-05
72	344	2.1715393632225947e-05
73	287	1.811720340828153e-05
74	228	1.4392760895777663e-05
75	279	1.7612194254043718e-05
76	191	1.2057093557427779e-05
77	205	1.2940859577343952e-05
78	172	1.0857696816112974e-05
79	128	8.080146467805004e-06
80	110	6.943875870769925e-06
81	108	6.8176235822104715e-06
82	85	5.36572226377676e-06
83	91	5.74447912945512e-06
84	83	5.239469975217307e-06
85	65	4.103199378182228e-06
86	66	4.166325522461955e-06
87	62	3.913820945343049e-06
88	51	3.219433358266056e-06
89	50	3.1563072139863296e-06
90	44	2.77755034830797e-06
91	55	3.4719379353849623e-06
92	27	1.7044058955526179e-06
93	23	1.4519013184337115e-06
94	27	1.7044058955526179e-06
95	26	1.6412797512728913e-06
96	25	1.5781536069931648e-06
97	18	1.1362705970350786e-06
98	20	1.2625228855945319e-06
99	14	8.837660199161723e-07
100	21	1.3256490298742584e-06
101	14	8.837660199161723e-07
102	5	3.1563072139863297e-07
103	19	1.1993967413148051e-06
104	10	6.312614427972659e-07
105	8	5.050091542378128e-07
106	6	3.7875686567835957e-07
107	4	2.525045771189064e-07
108	9	5.681352985175393e-07
109	4	2.525045771189064e-07
110	3	1.8937843283917978e-07
111	2	1.262522885594532e-07
112	3	1.8937843283917978e-07
113	4	2.525045771189064e-07
117	5	3.1563072139863297e-07
118	2	1.262522885594532e-07
119	2	1.262522885594532e-07
126	2	1.262522885594532e-07
134	2	1.262522885594532e-07
135	2	1.262522885594532e-07
136	1	6.31261442797266e-08
137	5	3.1563072139863297e-07
140	2	1.262522885594532e-07
152	1	6.31261442797266e-08
153	1	6.31261442797266e-08
