sample name :	CNTRL_180_s3_SNV
date of analysis :	19/08/2021
produced from code:	Watson_code_SSCS_calling: version 2.1
produced from function:	SSCS_calling_BAM
minimum family size required for SSCS consensus calling set to :	3
minimum proportion of identical nucleotides required at each base set to :	0.9
maximum proportion of Ns allowed :	1.0
minimum base quality set to:	20

total number of reads included in SSCS consensus calling:	207086683
total number of reads excluded due to non-common CIGAR:	1346326
total number of SSCS consensus reads (read 1 and read 2 separate):	18798427
total number of unpaired SSCS reads:	81145
total number of SSCS pairs:	9358641

UMI_family_size	count (read 1 and read 2 separate)	fraction	
1	4495924	0.1776678206839821
2	2010873	0.07946473819002749
3	1995900	0.07887304218291054
4	2004215	0.07920163046175761
5	1917099	0.07575902114124736
6	1742024	0.06884048922072375
7	1521979	0.06014485388471566
8	1292434	0.051073801994402424
9	1079288	0.042650798111883936
10	895745	0.03539763173011233
11	748315	0.029571561982616713
12	630265	0.024906517326224814
13	536501	0.02120119545276501
14	464907	0.018371977264457332
15	406916	0.016080316064382594
16	358978	0.014185924613826773
17	320474	0.012664341560461981
18	285387	0.01127778991405095
19	257845	0.010189398046822269
20	231657	0.00915451291796508
21	208672	0.008246202444206777
22	186882	0.007385115421226858
23	168444	0.006656491165618609
24	152609	0.006030731045889971
25	137268	0.005424492586985201
26	123979	0.004899344103810344
27	111455	0.004404426532640059
28	101423	0.00400798665129382
29	91376	0.0036109540069670988
30	81713	0.0032290960949407127
31	73301	0.00289667461548651
32	66070	0.002610923341362242
33	59925	0.0023680881070248577
34	54286	0.002145248743895727
35	48484	0.0019159680230453602
36	43838	0.0017323695692241254
37	39250	0.0015510631322607537
38	35049	0.001385049980193813
39	31879	0.001259779403651989
40	28571	0.0011290554076897324
41	25756	0.0010178135550193113
42	23191	0.0009164510853569207
43	20955	0.0008280898837330979
44	18868	0.0007456167943820612
45	17073	0.0006746828243844037
46	15307	0.0006048948628156779
47	13749	0.0005433265479096333
48	12366	0.0004886738011092097
49	11272	0.0004454416210660692
50	10328	0.00040813707082774686
51	9048	0.0003575546298266318
52	8056	0.0003183532380507677
53	7412	0.0002929039474220817
54	6727	0.00026583443798007875
55	6014	0.00023765843764117638
56	5486	0.00021679318072821645
57	4899	0.00019359638942536135
58	4439	0.00017541832469058564
59	4072	0.00016091539043479718
60	3625	0.00014325105361643903
61	3237	0.00012791825118797605
62	2917	0.00011527264093769729
63	2635	0.00010412869690463914
64	2472	9.76873391834034e-05
65	2174	8.59111146378313e-05
66	2015	7.962782704472405e-05
67	1796	7.097348752968952e-05
68	1674	6.615234862177075e-05
69	1495	5.9078710388021065e-05
70	1403	5.544309744106592e-05
71	1153	4.5563714433035644e-05
72	1175	4.643310013774231e-05
73	963	3.8055383346932635e-05
74	891	3.521012104061991e-05
75	849	3.3550384695270826e-05
76	693	2.7385649698259933e-05
77	631	2.4935562712268425e-05
78	648	2.560736075681448e-05
79	626	2.4737975052107818e-05
80	531	2.0983809509056314e-05
81	483	1.90869679715145e-05
82	397	1.5688460216752083e-05
83	379	1.4977144640173903e-05
84	335	1.3238373230760574e-05
85	333	1.3159338166696331e-05
86	297	1.173670701353997e-05
87	275	1.0867321308833306e-05
88	270	1.06697336486727e-05
89	187	7.389778490006648e-06
90	195	7.705918746263617e-06
91	188	7.42929602203877e-06
92	186	7.350260957974527e-06
93	177	6.9946031696854376e-06
94	138	5.4534194204327134e-06
95	105	4.149340863372717e-06
96	119	4.702586311822413e-06
97	136	5.374384356368471e-06
98	114	4.504998651661807e-06
99	105	4.149340863372717e-06
100	84	3.3194726906981737e-06
101	75	2.9638149024090834e-06
102	74	2.9242973703769624e-06
103	47	1.8573240055096925e-06
104	60	2.371051921927267e-06
105	50	1.9758766016060556e-06
106	57	2.2524993258309033e-06
107	49	1.9363590695739346e-06
108	36	1.4226311531563601e-06
109	48	1.8968415375418135e-06
110	40	1.5807012812848445e-06
111	29	1.1460084289315124e-06
112	15	5.927629804818167e-07
113	33	1.3040785570599968e-06
114	22	8.693857047066646e-07
115	20	7.903506406424223e-07
116	17	6.717980445460589e-07
117	21	8.298681726745434e-07
118	28	1.1064908968993911e-06
119	12	4.742103843854534e-07
120	18	7.113155765781801e-07
121	21	8.298681726745434e-07
122	11	4.346928523533323e-07
123	7	2.766227242248478e-07
124	11	4.346928523533323e-07
125	13	5.137279164175745e-07
126	11	4.346928523533323e-07
127	6	2.371051921927267e-07
128	11	4.346928523533323e-07
129	4	1.5807012812848447e-07
130	9	3.5565778828909003e-07
131	6	2.371051921927267e-07
132	8	3.1614025625696894e-07
133	7	2.766227242248478e-07
134	3	1.1855259609636334e-07
135	2	7.903506406424223e-08
136	2	7.903506406424223e-08
137	3	1.1855259609636334e-07
138	1	3.951753203212112e-08
140	2	7.903506406424223e-08
141	3	1.1855259609636334e-07
145	2	7.903506406424223e-08
148	2	7.903506406424223e-08
151	1	3.951753203212112e-08
152	1	3.951753203212112e-08
156	2	7.903506406424223e-08
