sample name :	C92_009_s8_SNV
date of analysis :	18/07/2021
produced from code:	Watson_code_SSCS_calling: version 1.8
produced from function:	SSCS_calling_BAM_and_fastq
minimum family size required for SSCS consensus calling set to :	3
minimum proportion of identical nucleotides required at each base set to :	0.9
maximum proportion of Ns allowed :	1.0
minimum base quality set to:	20

total number of reads included in SSCS consensus calling:	82062513
total number of reads excluded due to non-common CIGAR:	588752
total number of SSCS consensus reads (read 1 and read 2 separate):	5473885
total number of unpaired SSCS reads:	27933
total number of SSCS pairs:	2722976

UMI_family_size	count (read 1 and read 2 separate)	fraction	
1	1934375	0.23855947384031576
2	700305	0.08636608327120766
3	656182	0.08092455323475856
4	618550	0.07628353475614982
5	546330	0.0673769033114984
6	455876	0.056221538582967516
7	362023	0.04464698747558908
8	281539	0.034721186794457466
9	215860	0.026621233226841002
10	170813	0.02106574961167605
11	138396	0.01706787822506202
12	118126	0.014568052423579265
13	103705	0.012789562641478486
14	93464	0.0115265771440446
15	87166	0.010749867578295297
16	81156	0.010008676011106775
17	77391	0.009544352175754896
18	73629	0.009080398319554693
19	70433	0.008686247196637137
20	67371	0.008308621809161055
21	64636	0.007971324149217526
22	62164	0.007666461328237487
23	59518	0.007340139716460311
24	56171	0.006927366309575122
25	53548	0.006603881204627453
26	51930	0.006404339115490842
27	49221	0.006070247941528495
28	46951	0.00579029705009456
29	44558	0.005495177013441959
30	42369	0.005225215559103245
31	40687	0.005017780581397572
32	38541	0.004753122161566196
33	36434	0.0044932734707065925
34	34883	0.004301994249290719
35	33662	0.004151412734559074
36	31630	0.003900813522491341
37	29534	0.0036423214218545452
38	28405	0.0035030859344409274
39	26722	0.003295527630351363
40	25454	0.0031391497755768128
41	24162	0.002979812087588864
42	22701	0.0027996322407232354
43	21425	0.002642267774877552
44	20153	0.002485396614567436
45	19059	0.002350477550590024
46	18450	0.002275371782800039
47	17127	0.0021122109769114513
48	16066	0.0019813616836024625
49	15333	0.0018909634442099187
50	14367	0.0017718301573706322
51	13419	0.0016549167454413944
52	12537	0.0015461428748490022
53	11872	0.0014641308295610875
54	11480	0.00141578688707558
55	10777	0.0013290884391997844
56	9949	0.0012269741933375387
57	9320	0.0011494018978697217
58	8736	0.0010773792896770268
59	8184	0.001009303125768863
60	7819	0.0009642889956484285
61	7152	0.0008820302975927306
62	6833	0.0008426891811313099
63	6257	0.0007716531840097477
64	6038	0.0007446447059374871
65	5390	0.0006647292091757297
66	5202	0.0006415438490041086
67	4784	0.0005899934205374194
68	4531	0.0005587918454128443
69	4293	0.0005294401660466433
70	3814	0.00047036682816256636
