sample name :	CNTRL_160_s5_SNV
date of analysis :	29/06/2021
produced from code:	Watson_code_SSCS_calling: version 1.8
produced from function:	SSCS_calling_BAM_and_fastq
minimum family size required for SSCS consensus calling set to :	3
minimum proportion of identical nucleotides required at each base set to :	0.9
maximum proportion of Ns allowed :	1.0
minimum base quality set to:	20

total number of reads included in SSCS consensus calling:	157668975
total number of reads excluded due to non-common CIGAR:	1184145
total number of SSCS consensus reads (read 1 and read 2 separate):	12712933
total number of unpaired SSCS reads:	63437
total number of SSCS pairs:	6324748

UMI_family_size	count (read 1 and read 2 separate)	fraction	
1	3714637	0.21082728595292774
2	1191767	0.06763971879305107
3	1156225	0.06562250327580431
4	1191007	0.06759658436636974
5	1182149	0.06709384127223403
6	1109920	0.06299442481859562
7	990449	0.05621374970011641
8	853348	0.048432469394279705
9	717808	0.04073978493061345
10	595671	0.033807798783802134
11	500616	0.028412873878284978
12	422603	0.02398518173527188
13	364660	0.02069657899159316
14	320806	0.01820760906043173
15	285494	0.016203447382838524
16	256189	0.014540217943501505
17	232655	0.013204526367819628
18	212449	0.012057718176342276
19	195192	0.01107828291155337
20	178919	0.010154695378151857
21	164324	0.009326344118396737
22	151383	0.008591866992498072
23	138710	0.00787260042758703
24	126615	0.007186138729283627
25	117267	0.006655585281103369
26	106673	0.006054314075495577
27	97700	0.005545044061533076
28	90242	0.005121759121810315
29	82821	0.00470057414759704
30	75163	0.0042659380429581435
31	69685	0.0039550296359051424
32	63815	0.003621872945616512
33	57746	0.0032774218462363254
34	52958	0.0030056749581439984
35	48656	0.002761511400797885
36	44093	0.002502534573236212
37	41313	0.0023447533809019035
38	37056	0.0021031438356619208
39	33821	0.0019195387431433998
40	30942	0.0017561387241756031
41	28347	0.0016088573593887217
42	25685	0.001457773354354934
43	23902	0.0013565777191275699
44	21374	0.0012130989945875943
45	19534	0.001108668277359131
46	17680	0.0010034429785865382
47	16217	0.0009204092072249937
48	14828	0.0008415753668824202
49	13694	0.0007772142618079216
50	12470	0.0007077451325211612
51	11237	0.0006377652008131748
52	10038	0.0005697149671409316
53	9175	0.0005207346905277991
54	8332	0.0004728895304062803
55	7751	0.00043991439632490146
56	6700	0.0003802640246905999
57	6406	0.00036357781226387803
58	5754	0.0003265730146372704
59	5090	0.00028888714711569456
60	4729	0.0002683982944420667
61	4318	0.00024507165053940454
62	3966	0.00022509360028700285
63	3523	0.0001999507699977587
64	3375	0.0001915509079598171
65	2945	0.00016714590339012188
66	2688	0.00015255965647288544
67	2373	0.0001346815717299692
68	2062	0.00011703051028537566
69	1972	0.00011192248607311388
70	1942	0.00011021981133569327
71	1642	9.319306396148731e-05
72	1421	8.065002672915559e-05
73	1379	7.826628209676675e-05
74	1208	6.856103609346936e-05
75	1086	6.16368254946256e-05
76	969	5.499639401868527e-05
77	853	4.841271836732562e-05
78	903	5.1250509596359955e-05
79	728	4.131824029473981e-05
80	712	4.041014710144882e-05
81	608	3.4507541345057425e-05
82	561	3.1840017589765155e-05
83	527	2.991031955402181e-05
84	445	2.5256341938405515e-05
85	421	2.3894202148469037e-05
86	387	2.1964504112725693e-05
87	343	1.9467247831175485e-05
88	320	1.8161863865819696e-05
89	283	1.6061898356334293e-05
90	252	1.430246779433301e-05
91	249	1.413220032059095e-05
92	192	1.0897118319491817e-05
93	217	1.2316013934008981e-05
94	173	9.818757652458773e-06
95	191	1.084036249491113e-05
96	159	9.024176108329161e-06
97	127	7.207989721747192e-06
98	118	6.697187300521013e-06
99	107	6.072873230133461e-06
100	140	7.945815441296117e-06
101	94	5.335047510584535e-06
102	79	4.483710141874237e-06
103	67	3.8026402469059986e-06
104	59	3.3485936502605063e-06
105	72	4.086419369809431e-06
106	48	2.7242795798729543e-06
107	42	2.383744632388835e-06
108	45	2.5540121061308946e-06
109	39	2.2134771586467753e-06
110	41	2.3269888078081487e-06
111	33	1.8729422111626562e-06
112	40	2.270232983227462e-06
113	26	1.4756514390978503e-06
114	26	1.4756514390978503e-06
115	21	1.1918723161944175e-06
116	21	1.1918723161944175e-06
117	19	1.0783606670330445e-06
118	20	1.135116491613731e-06
119	15	8.513373687102983e-07
120	10	5.675582458068655e-07
121	17	9.648490178716713e-07
122	16	9.080931932909847e-07
123	14	7.945815441296117e-07
124	11	6.24314070387552e-07
125	8	4.5404659664549237e-07
126	6	3.405349474841193e-07
127	6	3.405349474841193e-07
128	9	5.108024212261789e-07
129	4	2.2702329832274618e-07
131	7	3.9729077206480583e-07
132	4	2.2702329832274618e-07
133	5	2.8377912290343275e-07
134	7	3.9729077206480583e-07
135	3	1.7026747374205965e-07
136	2	1.1351164916137309e-07
137	2	1.1351164916137309e-07
138	3	1.7026747374205965e-07
139	2	1.1351164916137309e-07
143	2	1.1351164916137309e-07
144	1	5.6755824580686546e-08
145	2	1.1351164916137309e-07
150	1	5.6755824580686546e-08
151	1	5.6755824580686546e-08
152	1	5.6755824580686546e-08
153	2	1.1351164916137309e-07
154	2	1.1351164916137309e-07
156	1	5.6755824580686546e-08
157	1	5.6755824580686546e-08
158	1	5.6755824580686546e-08
166	2	1.1351164916137309e-07
167	2	1.1351164916137309e-07
