sample name :	C92_019_s3_SNV
date of analysis :	27/09/2021
produced from code:	Watson_code_SSCS_calling: version 2.1
produced from function:	SSCS_calling_BAM
minimum family size required for SSCS consensus calling set to :	3
minimum proportion of identical nucleotides required at each base set to :	0.9
maximum proportion of Ns allowed :	1.0
minimum base quality set to:	20

total number of reads included in SSCS consensus calling:	91385565
total number of reads excluded due to non-common CIGAR:	615404
total number of SSCS consensus reads (read 1 and read 2 separate):	9097295
total number of unpaired SSCS reads:	58763
total number of SSCS pairs:	4519266

UMI_family_size	count (read 1 and read 2 separate)	fraction	
1	3152812	0.22983731606906493
2	1467474	0.106977607786679
3	1379732	0.10058129053511694
4	1223250	0.0891738856872797
5	1018514	0.07424880523759983
6	810358	0.05907440969366246
7	640205	0.046670400561148496
8	512324	0.03734798431297763
9	421596	0.030733990198417636
10	358885	0.02616241157970928
11	310595	0.022642111608453416
12	274497	0.020010598078480456
13	243440	0.017746569165511032
14	217345	0.0158442658366661
15	194514	0.014179905334621316
16	173624	0.012657042083440222
17	154994	0.011298930912090112
18	137288	0.010008178555679752
19	123404	0.00899604675197471
20	109607	0.007990257174351659
21	96702	0.007049493638856589
22	84975	0.00619460530249466
23	75438	0.005499366105437978
24	67611	0.004928784455510049
25	58669	0.004276920252922144
26	52075	0.0037962232553975807
27	45281	0.0033009464277994785
28	40345	0.002941116221584549
29	34965	0.002548918792606364
30	30628	0.0022327551774616824
31	27124	0.001977316554573288
32	23597	0.001720201251226437
33	20859	0.0015206033775196953
34	18105	0.0013198391174070706
35	15401	0.0011227198148128304
36	13606	0.0009918658399028226
37	11887	0.0008665522004207593
38	10231	0.0007458312074118608
39	8892	0.0006482192450695207
40	7910	0.0005766322794084467
41	6785	0.0004946207352447928
42	5752	0.00041931591291496657
43	5032	0.0003668285246502281
44	4270	0.00031127937207004646
45	3692	0.0002691436631575203
46	3325	0.00024238967497257715
47	2710	0.00019755669749644636
48	2432	0.00017729073369422785
49	2069	0.00015082834211075554
50	1752	0.00012771931144419705
51	1525	0.00011117120431073087
52	1328	9.681007168829548e-05
53	1140	8.310503141916931e-05
54	979	7.136826820997085e-05
55	869	6.334936166952468e-05
56	681	4.964432140039851e-05
57	619	4.512457407760158e-05
58	491	3.579348283053696e-05
59	455	3.3169113417300034e-05
60	405	2.9524155898915414e-05
61	323	2.3546425568764637e-05
62	284	2.0703358704424635e-05
63	254	1.8516384193393865e-05
64	221	1.6110712231260016e-05
65	176	1.2830250464713859e-05
66	186	1.3559241968390782e-05
67	166	1.2101258961036935e-05
68	125	9.112393795961548e-06
69	111	8.091805690813854e-06
70	97	7.071217585666161e-06
71	75	5.467436277576928e-06
72	47	3.4262600672815417e-06
73	63	4.59264647316462e-06
74	48	3.4991592176492343e-06
75	40	2.915966014707695e-06
76	43	3.1346634658107725e-06
77	30	2.1869745110307714e-06
78	23	1.6766804584569247e-06
79	23	1.6766804584569247e-06
80	16	1.166386405883078e-06
81	16	1.166386405883078e-06
82	24	1.7495796088246172e-06
83	11	8.018906540446162e-07
84	14	1.0205881051476933e-06
85	16	1.166386405883078e-06
86	12	8.747898044123086e-07
87	5	3.644957518384619e-07
88	8	5.83193202941539e-07
89	4	2.915966014707695e-07
90	6	4.373949022061543e-07
91	9	6.560923533092315e-07
92	2	1.4579830073538476e-07
93	2	1.4579830073538476e-07
95	5	3.644957518384619e-07
96	5	3.644957518384619e-07
98	2	1.4579830073538476e-07
99	4	2.915966014707695e-07
100	1	7.289915036769238e-08
101	4	2.915966014707695e-07
102	1	7.289915036769238e-08
103	1	7.289915036769238e-08
104	1	7.289915036769238e-08
107	4	2.915966014707695e-07
110	2	1.4579830073538476e-07
115	1	7.289915036769238e-08
