sample name :	Myeloid_0_1A_SNV
date of analysis :	20/10/2021
produced from code:	Watson_code_SSCS_calling: version 2.1
produced from function:	SSCS_calling_BAM
minimum family size required for SSCS consensus calling set to :	3
minimum proportion of identical nucleotides required at each base set to :	0.9
maximum proportion of Ns allowed :	1.0
minimum base quality set to:	20

total number of reads included in SSCS consensus calling:	102739679
total number of reads excluded due to non-common CIGAR:	572884
total number of SSCS consensus reads (read 1 and read 2 separate):	11489343
total number of unpaired SSCS reads:	55381
total number of SSCS pairs:	5716981

UMI_family_size	count (read 1 and read 2 separate)	fraction	
1	3862916	0.21833786277910183
2	2340119	0.13226707003433907
3	2077393	0.11741739861085944
4	1711195	0.09671933303708523
5	1345855	0.07606976292276821
6	1043597	0.05898568298732935
7	819003	0.046291289955482526
8	663382	0.037495355344544415
9	547658	0.0309544595983649
10	461578	0.026089087628582208
11	395519	0.022355332900981427
12	341494	0.019301758079100503
13	294546	0.016648186015469486
14	255092	0.014418186181642739
15	220375	0.012455928762091789
16	191211	0.010807535312664018
17	164634	0.009305363021296515
18	141400	0.007992142152965532
19	121474	0.006865894454662906
20	104715	0.0059186503928414826
21	89240	0.005043979955662263
22	75056	0.004242278793726881
23	64748	0.0036596550220665647
24	55455	0.003134400587642882
25	46804	0.0026454329655403023
26	40525	0.0022905343758764366
27	33852	0.001913366309492144
28	28921	0.0016346587213996898
29	24438	0.0013812727718116808
30	20542	0.0011610649512462372
31	17022	0.0009621092201398817
32	14997	0.0008476531532392084
33	12358	0.0006984928764239606
34	10405	0.0005881063585686446
35	8990	0.0005081284155244705
36	7501	0.00042396788040590137
37	6347	0.0003587420526511473
38	5226	0.0002953814348755153
39	4409	0.00024920335751361407
40	3672	0.00020754700131322086
41	3102	0.0001753297380374758
42	2608	0.0001474081098651634
43	2198	0.0001242342889124345
44	1803	0.00010190829067748835
45	1613	9.116920291890666e-05
46	1273	7.195188798249732e-05
47	1010	5.708672966403951e-05
48	882	4.985197580562658e-05
49	665	3.758680715503591e-05
50	600	3.39129087113106e-05
51	500	2.8260757259425498e-05
52	456	2.5773810620596054e-05
53	354	2.0008616139673253e-05
54	281	1.588254557979713e-05
55	231	1.3056469853854581e-05
56	191	1.079560927310054e-05
57	153	8.647791721384203e-06
58	112	6.3304096261113115e-06
59	120	6.7825817422621196e-06
60	90	5.08693630669659e-06
61	79	4.465199646989229e-06
62	71	4.013027530838421e-06
63	42	2.373903609791742e-06
64	36	2.034774522678636e-06
65	50	2.8260757259425497e-06
66	36	2.034774522678636e-06
67	19	1.073908775858169e-06
68	12	6.78258174226212e-07
69	15	8.478227177827649e-07
70	33	1.865209979122083e-06
71	12	6.78258174226212e-07
72	14	7.913012032639139e-07
73	6	3.39129087113106e-07
74	9	5.08693630669659e-07
75	5	2.82607572594255e-07
76	8	4.52172116150808e-07
77	5	2.82607572594255e-07
78	2	1.13043029037702e-07
80	6	3.39129087113106e-07
81	1	5.6521514518851e-08
82	2	1.13043029037702e-07
83	2	1.13043029037702e-07
84	2	1.13043029037702e-07
88	1	5.6521514518851e-08
98	2	1.13043029037702e-07
101	2	1.13043029037702e-07
