sample name :	Myeloid_0_1B_SNV
date of analysis :	20/10/2021
produced from code:	Watson_code_SSCS_calling: version 2.1
produced from function:	SSCS_calling_BAM
minimum family size required for SSCS consensus calling set to :	3
minimum proportion of identical nucleotides required at each base set to :	0.9
maximum proportion of Ns allowed :	1.0
minimum base quality set to:	20

total number of reads included in SSCS consensus calling:	110234121
total number of reads excluded due to non-common CIGAR:	660815
total number of SSCS consensus reads (read 1 and read 2 separate):	12191701
total number of unpaired SSCS reads:	63521
total number of SSCS pairs:	6064090

UMI_family_size	count (read 1 and read 2 separate)	fraction	
1	4053174	0.21820862874981192
2	2329890	0.1254330808492059
3	2105446	0.11334980550224996
4	1780698	0.09586651567328039
5	1422873	0.07660247653200458
6	1116444	0.06010541721523799
7	881944	0.04748076220614366
8	713952	0.03843666393625976
9	590768	0.031804870748028305
10	500093	0.026923247750375308
11	429351	0.023114747346736284
12	371047	0.019975865105157455
13	321860	0.017327810069198722
14	276349	0.01487765794075995
15	239626	0.012900620815391204
16	208079	0.01120224132041509
17	179364	0.00965632674222258
18	154951	0.008342016709228892
19	132338	0.00712461234368241
20	113744	0.006123576798952772
21	97474	0.0052476572381938615
22	84368	0.004542076306214372
23	71868	0.003869120282275442
24	61361	0.003303460366793335
25	52098	0.0028047730348136303
26	43995	0.002368536021855458
27	37376	0.002012192348059316
28	31854	0.0017149072949240543
29	27115	0.0014597762071283272
30	22824	0.0012287638632305711
31	19412	0.0010450737869362008
32	16521	0.000889432517719605
33	13720	0.0007386365318753696
34	11653	0.0006273565237568282
35	9798	0.000527489849804291
36	8136	0.0004380136168613708
37	6944	0.0003738405304185544
38	5792	0.00031182090325234264
39	4938	0.00026584454769683493
40	4086	0.00021997586510515745
41	3408	0.00018347473036670989
42	2882	0.00015515674087935972
43	2433	0.00013098416049947334
44	2085	0.00011224906479301353
45	1657	8.920705053334457e-05
46	1392	7.494038282583925e-05
47	1252	6.740327535772323e-05
48	1015	5.464402914384112e-05
49	939	5.055245651829243e-05
50	762	4.1023399219317174e-05
51	593	3.192503377566284e-05
52	484	2.6056857246915373e-05
53	385	2.0727045537319046e-05
54	380	2.0457863127743473e-05
55	300	1.6150944574534322e-05
56	237	1.2759246213882113e-05
57	171	9.206038407484563e-06
58	159	8.56000062450319e-06
59	155	8.344654696842732e-06
60	125	6.729560239389301e-06
61	94	5.060629300020754e-06
62	72	3.876226697888237e-06
63	97	5.222138745766097e-06
64	58	3.1225159510766354e-06
65	53	2.8533335415010635e-06
66	35	1.884276867029004e-06
67	21	1.1305661202174024e-06
68	38	2.0457863127743472e-06
69	17	9.152201925569448e-07
70	23	1.2382390840476314e-06
71	21	1.1305661202174024e-06
72	13	6.998742648964873e-07
73	3	1.6150944574534322e-07
74	16	8.613837106418304e-07
75	16	8.613837106418304e-07
76	10	5.38364819151144e-07
77	2	1.076729638302288e-07
78	8	4.306918553209152e-07
79	5	2.69182409575572e-07
80	6	3.2301889149068644e-07
81	2	1.076729638302288e-07
82	1	5.38364819151144e-08
83	2	1.076729638302288e-07
85	2	1.076729638302288e-07
86	2	1.076729638302288e-07
88	3	1.6150944574534322e-07
89	3	1.6150944574534322e-07
93	2	1.076729638302288e-07
103	1	5.38364819151144e-08
104	1	5.38364819151144e-08
