sample name :	Myeloid_1A_SNV
date of analysis :	20/10/2021
produced from code:	Watson_code_SSCS_calling: version 2.1
produced from function:	SSCS_calling_BAM
minimum family size required for SSCS consensus calling set to :	3
minimum proportion of identical nucleotides required at each base set to :	0.9
maximum proportion of Ns allowed :	1.0
minimum base quality set to:	20

total number of reads included in SSCS consensus calling:	80419231
total number of reads excluded due to non-common CIGAR:	419923
total number of SSCS consensus reads (read 1 and read 2 separate):	9502151
total number of unpaired SSCS reads:	43365
total number of SSCS pairs:	4729393

UMI_family_size	count (read 1 and read 2 separate)	fraction	
1	3446200	0.22720037151631756
2	2219758	0.14634375319955836
3	1906002	0.1256585115520992
4	1510945	0.0996132741398417
5	1151299	0.0759026059214105
6	872582	0.0575274083275641
7	677909	0.044693046443693145
8	541094	0.03567313499659054
9	444614	0.029312421212162966
10	370207	0.02440693167487127
11	312188	0.02058186686290295
12	266020	0.017538112364567
13	224844	0.014823469425226308
14	192661	0.012701715157769501
15	162387	0.010705817053398022
16	139178	0.00917569882969591
17	117368	0.00773781359297985
18	99769	0.006577550306369766
19	83273	0.005490005379048898
20	70367	0.004639141240348418
21	59235	0.003905233012236397
22	49904	0.003290060745212208
23	42233	0.0027843286200013462
24	35448	0.002337008522288441
25	28918	0.001906500012625173
26	24269	0.0016000016877515846
27	20493	0.0013510583290244024
28	16759	0.00110488393774069
29	14414	0.0009502832554802975
30	11789	0.0007772227902634402
31	9605	0.000633236483203015
32	8022	0.0005288727817027159
33	6700	0.0004417162350296929
34	5498	0.0003624710239094405
35	4437	0.00029252163206369366
36	3833	0.0002527012431147482
37	3222	0.0002124193595918911
38	2672	0.00017615907164169245
39	2099	0.00013838244437721275
40	1727	0.00011385730416362383
41	1415	9.328783172642022e-05
42	1183	7.799258299106369e-05
43	938	6.1840272904157e-05
44	811	5.346744277747477e-05
45	688	4.535832383588488e-05
46	614	4.047966691167633e-05
47	448	2.9535652730343643e-05
48	378	2.492070699122745e-05
49	313	2.06354002334767e-05
50	262	1.7273082623549186e-05
51	195	1.2855920273252256e-05
52	161	1.0614375199967246e-05
53	150	9.889169440963274e-06
54	122	8.043191145316796e-06
55	90	5.933501664577965e-06
56	68	4.4830901465700175e-06
57	57	3.757884387566044e-06
58	54	3.5601009987467786e-06
59	39	2.571184054650451e-06
60	36	2.3734006658311856e-06
61	11	7.252057590039734e-07
62	25	1.6481949068272123e-06
63	18	1.1867003329155928e-06
64	18	1.1867003329155928e-06
65	8	5.274223701847079e-07
66	10	6.592779627308849e-07
67	7	4.614945739116194e-07
68	1	6.592779627308849e-08
69	10	6.592779627308849e-07
70	10	6.592779627308849e-07
71	7	4.614945739116194e-07
72	5	3.2963898136544245e-07
73	3	1.9778338881926548e-07
74	1	6.592779627308849e-08
75	2	1.3185559254617697e-07
77	3	1.9778338881926548e-07
78	1	6.592779627308849e-08
79	3	1.9778338881926548e-07
81	2	1.3185559254617697e-07
