sample name :	Myeloid_1B_SNV
date of analysis :	20/10/2021
produced from code:	Watson_code_SSCS_calling: version 2.1
produced from function:	SSCS_calling_BAM
minimum family size required for SSCS consensus calling set to :	3
minimum proportion of identical nucleotides required at each base set to :	0.9
maximum proportion of Ns allowed :	1.0
minimum base quality set to:	20

total number of reads included in SSCS consensus calling:	92927801
total number of reads excluded due to non-common CIGAR:	529018
total number of SSCS consensus reads (read 1 and read 2 separate):	10668932
total number of unpaired SSCS reads:	56112
total number of SSCS pairs:	5306410

UMI_family_size	count (read 1 and read 2 separate)	fraction	
1	3773676	0.225064604276034
2	2324471	0.13863303202662788
3	2011648	0.11997605545963015
4	1624030	0.09685825420158156
5	1257810	0.07501664422288462
6	969082	0.05779670985029652
7	764227	0.04557901826549514
8	618880	0.03691042429036089
9	513341	0.030616006520873432
10	434884	0.025936777658171706
11	369627	0.022044805776844017
12	316996	0.018905857126336675
13	272853	0.016273138571125
14	232220	0.013849758804142331
15	198310	0.011827343331536757
16	169361	0.010100805274430925
17	145383	0.008670741039628907
18	123263	0.007351489189023324
19	104711	0.00624503528611036
20	87627	0.005226133902035053
21	74222	0.0044266505811775565
22	62248	0.003712513073982654
23	52568	0.0031351912876416937
24	43922	0.0026195379648416995
25	37293	0.002224179894422875
26	31091	0.0018542883945378919
27	25839	0.0015410555410396765
28	21473	0.0012806643303821734
29	17917	0.0010685820708544404
30	14745	0.0008794018326030432
31	12645	0.0007541564037480828
32	10491	0.0006256903781511377
33	8606	0.000513267695583709
34	7319	0.0004365101398997404
35	6019	0.0003589772553704793
36	4831	0.00028812412704681595
37	4065	0.00024243936585495899
38	3349	0.00019973663868345823
39	2761	0.00016466791860406932
40	2355	0.00014045380235877699
41	1921	0.00011456974706208517
42	1558	9.292018007429917e-05
43	1242	7.407372506564799e-05
44	1123	6.697648409720024e-05
45	898	5.355733100559734e-05
46	709	4.2285242408650904e-05
47	690	4.115206948091555e-05
48	501	2.9879980883969117e-05
49	410	2.4452678966920832e-05
50	349	2.0814597462086272e-05
51	265	1.5804780307887857e-05
52	218	1.3001668328753028e-05
53	182	1.0854603834096565e-05
54	161	9.602149545546962e-06
55	121	7.216522329262002e-06
56	104	6.2026307623408945e-06
57	100	5.964068040712398e-06
58	56	3.339878102798943e-06
59	42	2.5049085770992075e-06
60	33	1.9681424534350916e-06
61	38	2.2663458554707113e-06
62	33	1.9681424534350916e-06
63	33	1.9681424534350916e-06
64	16	9.542508865139837e-07
65	27	1.6102983709923475e-06
66	18	1.0735322473282318e-06
67	17	1.0138915669211077e-06
68	1	5.964068040712398e-08
69	12	7.156881648854879e-07
70	7	4.174847628498679e-07
71	1	5.964068040712398e-08
72	6	3.5784408244274393e-07
73	5	2.982034020356199e-07
74	3	1.7892204122137196e-07
75	2	1.1928136081424796e-07
77	2	1.1928136081424796e-07
78	2	1.1928136081424796e-07
79	4	2.385627216284959e-07
81	4	2.385627216284959e-07
82	2	1.1928136081424796e-07
84	2	1.1928136081424796e-07
95	1	5.964068040712398e-08
97	1	5.964068040712398e-08
