sample name :	SEM11503A_SNV
date of analysis :	20/10/2021
produced from code:	Watson_code_SSCS_calling: version 2.1
produced from function:	SSCS_calling_BAM
minimum family size required for SSCS consensus calling set to :	3
minimum proportion of identical nucleotides required at each base set to :	0.9
maximum proportion of Ns allowed :	1.0
minimum base quality set to:	20

total number of reads included in SSCS consensus calling:	127344250
total number of reads excluded due to non-common CIGAR:	741876
total number of SSCS consensus reads (read 1 and read 2 separate):	11690782
total number of unpaired SSCS reads:	54908
total number of SSCS pairs:	5817937

UMI_family_size	count (read 1 and read 2 separate)	fraction	
1	3340649	0.2002196114288564
2	1653493	0.09910102077779917
3	1617247	0.09692864049006157
4	1477707	0.088565401916125
5	1250301	0.0749359721386804
6	1006892	0.06034741302987056
7	802155	0.04807663493103115
8	640865	0.03840982434202277
9	527350	0.031606377110258335
10	448182	0.026861494844087994
11	387989	0.02325386678416995
12	344655	0.02065667185538274
13	310501	0.018609674218474113
14	281140	0.016849941899645452
15	254804	0.015271510976016433
16	230084	0.01378993395474861
17	209538	0.012558522891683533
18	190347	0.011408322866798794
19	173270	0.010384824048344482
20	157673	0.009450028061260572
21	142187	0.008521884786529444
22	128351	0.0076926331819072115
23	115894	0.006946031039757807
24	104764	0.006278961774114165
25	94426	0.005659360510122791
26	84760	0.005080035126321223
27	76271	0.004571252467197333
28	68367	0.004097531400202962
29	61598	0.003691835815374406
30	55543	0.0033289333532475185
31	49279	0.0029535046129068373
32	44604	0.002673311547598299
33	39399	0.0023613532791638726
34	35475	0.002126170907341262
35	31268	0.0018740271157363377
36	28146	0.0016869120890212026
37	25087	0.0015035729260738616
38	22052	0.0013216721874190138
39	19524	0.001170158161943081
40	17558	0.0010523272386496936
41	15662	0.0009386917195427441
42	13895	0.0008327877310079447
43	12204	0.0007314387527327065
44	10944	0.0006559214773768224
45	9622	0.0005766882725986646
46	8410	0.0005040478458277664
47	7603	0.00045568082899268827
48	6916	0.0004145059336200752
49	5972	0.00035792791144868266
50	5346	0.00032040901115282277
51	4799	0.00028762492415308576
52	4067	0.0002437529832320483
53	3530	0.00021156823968751672
54	2888	0.00017309038986332813
55	2772	0.00016613800578294514
56	2464	0.0001476782273626179
57	2273	0.00013623076736819418
58	2013	0.000120647837532853
59	1716	0.00010284733691325175
60	1465	8.780381618759545e-05
61	1326	7.947294216023999e-05
62	1157	6.934403776726823e-05
63	1067	6.394994667041935e-05
64	840	5.03448502372561e-05
65	764	4.5789839977694833e-05
66	628	3.7638768986900986e-05
67	660	3.9556668043558364e-05
68	468	2.8049273703614113e-05
69	469	2.8109208049134657e-05
70	377	2.25952482612447e-05
71	412	2.4692950354463707e-05
72	343	2.055748051354624e-05
73	265	1.588260156294389e-05
74	253	1.5163389416697373e-05
75	237	1.4204439888368686e-05
76	188	1.1267656957862079e-05
77	174	1.0428576120574477e-05
78	142	8.510677063917103e-06
79	163	9.769298319848505e-06
80	110	6.5927780072597276e-06
81	119	7.132187116944614e-06
82	77	4.614944605081809e-06
83	93	5.573894133410497e-06
84	78	4.674878950602352e-06
85	62	3.7159294222736646e-06
86	48	2.876848584986063e-06
87	51	3.056651621547692e-06
88	38	2.2775051297806333e-06
89	30	1.7980303656162892e-06
90	28	1.6781616745752033e-06
91	31	1.8579647111368323e-06
92	21	1.2586212559314025e-06
93	34	2.037767747698461e-06
94	21	1.2586212559314025e-06
95	20	1.1986869104108595e-06
96	22	1.3185556014519454e-06
97	20	1.1986869104108595e-06
98	6	3.596060731232579e-07
99	10	5.993434552054297e-07
100	12	7.192121462465158e-07
101	15	8.990151828081446e-07
102	12	7.192121462465158e-07
103	9	5.394091096848868e-07
104	3	1.7980303656162894e-07
105	3	1.7980303656162894e-07
106	6	3.596060731232579e-07
107	5	2.9967172760271487e-07
108	10	5.993434552054297e-07
109	5	2.9967172760271487e-07
110	4	2.397373820821719e-07
111	6	3.596060731232579e-07
112	2	1.1986869104108596e-07
113	4	2.397373820821719e-07
114	2	1.1986869104108596e-07
115	1	5.993434552054298e-08
116	5	2.9967172760271487e-07
118	2	1.1986869104108596e-07
119	3	1.7980303656162894e-07
120	1	5.993434552054298e-08
123	1	5.993434552054298e-08
125	1	5.993434552054298e-08
130	2	1.1986869104108596e-07
144	2	1.1986869104108596e-07
