sample name :	SEM11503B_SNV
date of analysis :	20/10/2021
produced from code:	Watson_code_SSCS_calling: version 2.1
produced from function:	SSCS_calling_BAM
minimum family size required for SSCS consensus calling set to :	3
minimum proportion of identical nucleotides required at each base set to :	0.9
maximum proportion of Ns allowed :	1.0
minimum base quality set to:	20

total number of reads included in SSCS consensus calling:	168137376
total number of reads excluded due to non-common CIGAR:	1088676
total number of SSCS consensus reads (read 1 and read 2 separate):	13816557
total number of unpaired SSCS reads:	69421
total number of SSCS pairs:	6873568

UMI_family_size	count (read 1 and read 2 separate)	fraction	
1	4024253	0.20717521483553103
2	1583584	0.08152552918768019
3	1585984	0.08164908516579719
4	1551345	0.07986581202996604
5	1400672	0.07210891624212318
6	1187664	0.061142911330978975
7	965657	0.049713622983553564
8	775940	0.03994667735837731
9	628014	0.03233120168382087
10	523540	0.02695270699307273
11	448233	0.02307577780804899
12	395821	0.020377521172603892
13	358991	0.01848145172508342
14	324376	0.016699414149033427
15	298311	0.01535754474502525
16	276489	0.01423411201399642
17	255230	0.013139663456167539
18	235226	0.012109824378562338
19	218673	0.011257648501157874
20	202528	0.010426477140033301
21	187127	0.009633608132124997
22	172314	0.008871010338855359
23	159859	0.008229806294085673
24	145808	0.0075064375238681836
25	135118	0.0069560986046720424
26	124271	0.006397677065240749
27	113439	0.005840027750672685
28	104607	0.005385341751202122
29	95056	0.0048936404399540084
30	87254	0.004491980547758658
31	80518	0.004145200102510276
32	73376	0.003777518104297102
33	66671	0.003432333590432731
34	60350	0.0031069180330670805
35	55656	0.002865263132533247
36	49898	0.0025688317483675426
37	46144	0.0023755696059295337
38	41957	0.0021600159057729162
39	37718	0.0019417851594237638
40	33956	0.0017481111637253652
41	31054	0.0015987113935188918
42	27638	0.0014228500513323607
43	25122	0.001293322200939705
44	22997	0.0011839236786486105
45	20640	0.001062581411806206
46	18543	0.0009546243759264767
47	17096	0.0008801304174534351
48	15295	0.0007874119522081358
49	13509	0.0006954657118260677
50	12611	0.00064923518334729
51	11027	0.0005676882377900695
52	10094	0.0005196558512970855
53	9022	0.0004644675144048252
54	8209	0.0004226129268176912
55	7340	0.0003778753664078272
56	6538	0.00033658707705372945
57	5861	0.0003017339948932255
58	5316	0.0002736764915291566
59	4461	0.00022965967432497507
60	4310	0.0002218859440351138
61	3712	0.00019109991282096112
62	3399	0.00017498615400820226
63	3037	0.00015634979397555464
64	2784	0.00014332493461572082
65	2465	0.00012690228585766948
66	2189	0.0001126933483742144
67	2002	0.0001030662784125981
68	1816	9.349069010853054e-05
69	1501	7.72739679806742e-05
70	1345	6.924282940306915e-05
71	1161	5.97702044140991e-05
72	1069	5.5033891919614066e-05
73	1020	5.2511290699725304e-05
74	864	4.448015212212026e-05
75	770	3.964087631253773e-05
76	683	3.516197210579645e-05
77	659	3.392641232462645e-05
78	576	2.9653434748080172e-05
79	524	2.6976388555545158e-05
80	454	2.3372672527132636e-05
81	454	2.3372672527132636e-05
82	415	2.1364887882731375e-05
83	353	1.8173025114708856e-05
84	319	1.6422648758051346e-05
85	256	1.3179304332480076e-05
86	227	1.1686336263566318e-05
87	225	1.1583372948468817e-05
88	198	1.019336819465256e-05
89	179	9.215216701226303e-06
90	124	6.383725536045037e-06
91	130	6.692615481337539e-06
92	142	7.310395371922542e-06
93	109	5.611500672813782e-06
94	103	5.3026107275212805e-06
95	96	4.9422391246800285e-06
96	92	4.736312494485028e-06
97	52	2.6770461925350155e-06
98	49	2.5226012198887646e-06
99	67	3.44927105576627e-06
100	41	2.110747959498762e-06
101	61	3.1403811104737683e-06
102	46	2.368156247242514e-06
103	37	1.904821329303761e-06
104	25	1.2870414387187575e-06
105	27	1.3900047538162581e-06
106	36	1.8533396717550108e-06
107	22	1.1325964660725065e-06
108	7	3.603716028412521e-07
109	18	9.266698358775054e-07
110	15	7.722248632312545e-07
111	15	7.722248632312545e-07
112	9	4.633349179387527e-07
113	16	8.237065207800048e-07
114	4	2.059266301950012e-07
115	12	6.177798905850036e-07
116	5	2.574082877437515e-07
117	2	1.029633150975006e-07
118	4	2.059266301950012e-07
119	3	1.544449726462509e-07
120	3	1.544449726462509e-07
121	3	1.544449726462509e-07
122	3	1.544449726462509e-07
123	2	1.029633150975006e-07
124	3	1.544449726462509e-07
125	2	1.029633150975006e-07
126	6	3.088899452925018e-07
128	2	1.029633150975006e-07
129	3	1.544449726462509e-07
130	2	1.029633150975006e-07
131	5	2.574082877437515e-07
132	2	1.029633150975006e-07
134	3	1.544449726462509e-07
135	5	2.574082877437515e-07
136	2	1.029633150975006e-07
137	2	1.029633150975006e-07
139	2	1.029633150975006e-07
140	2	1.029633150975006e-07
141	2	1.029633150975006e-07
147	2	1.029633150975006e-07
156	1	5.14816575487503e-08
157	1	5.14816575487503e-08
